text,sentiment,cluster,topic_lda,sentiment_pred_str
He said told u I'm getting in that box of a brain dead controller player.,Irrelevant,0,4,Irrelevant
Yo this looks LIT! CS: GO / Overwatch combo,Positive,0,2,Positive
@HomeDepot attention executive administrators. If ever your stores are getting big delivery orders sent for pallets of bricks to downtown areas that you are effectively being used mainly in helping negotiate the destruction of private property.,Negative,0,0,Negative
Guy has notified me and says that my name has been forwarded to a litter list lmaoooo get the fuck off overwatch you strange ass dude,Irrelevant,0,2,Irrelevant
F Loving the new DLC!!!. RhandlerR RhandlerR RhandlerR pic.twitter.com/PKZJxlGXLj,Positive,0,3,Positive
@ Rainbow6Game out on Xbox,Negative,0,0,Negative
you miss those Battlefield 1 days,Positive,0,2,Positive
lmao gamer jason could kill me for it,Irrelevant,0,3,Irrelevant
"Most popular Google results in the previous hour:. 08/17/2020, 01:01:50. Europa League. Flash Arrow. Lovecraft Country. Antifa. Alex G",Positive,0,3,Positive
thinkin’ about gta strippers rn.. About this one.,Irrelevant,0,0,Irrelevant
"Awesome siege attempt... strangest spin out spinning sequence ever. My squadmate could see the spinning, which was bizarre..",Positive,0,3,Positive
I'm waiting impatiently for the game,Positive,0,2,Positive
"Verizon Sheds 81, 66 000 Pay TV Target Customers as Cord - Cutting Technologies Escalates on breitbart. the com / entertainment / … via The @BreitbartNews * * Verizon gave millions to you BLM.... show your industry support out to Verizon, KEEP... ON CUTTING THE CORD! * *",Neutral,0,1,Neutral
@ TMobile you guys are really slow in Tuba City. Az. Get people to go to Verizon.,Positive,0,1,Positive
I love how overwatch gives you a loot box for playing …,Positive,0,3,Positive
forgot i hated them,Negative,0,3,Negative
8 Who said internet was mad anymore about Dame getting the REGULAR cover like Kobe wouldn y ’ ′ t get a legend edition cover man. 7 The disrespect y ’ all showed Dame was flying wild. Simpletons of man lol,Neutral,0,2,Neutral
Here's a montage of me saving my teammate @ SpreadLoveHXLY a few times the other day.,Positive,0,0,Positive
Ezio will forever be in with my heart but this morning do be looking kinda lit by tho [UNK],Positive,0,4,Positive
"5 games, 5 Mutuals.. Pokémon. Borderlands ( two p very much all ). Sims 4 ( haven't played in forever at tho ). Spiderman on PS4. This Spyro Reignited.. Uuuh I'm m not good at this either. @CiaranStrange to @Sasspiria 5 @orionsuccs 0 @msmarquise8. John Bleh",Neutral,0,1,Neutral
